Freq.	V(out)
3.63078054770101e+000	8.81516483429150e-002,2.41304134205282e-001
3.71535229097172e+000	9.18872712444221e-002,2.45664161093595e-001
3.80189396320560e+000	9.57627093501706e-002,2.50047877964358e-001
3.89045144994280e+000	9.97816069556058e-002,2.54451576344614e-001
3.98107170553496e+000	1.03947565733042e-001,2.58871287158041e-001
4.07380277804112e+000	1.08264130306892e-001,2.63302773852855e-001
4.16869383470335e+000	1.12734772833971e-001,2.67741526153943e-001
4.26579518801592e+000	1.17362876589524e-001,2.72182754541239e-001
4.36515832240165e+000	1.22151718568407e-001,2.76621385561537e-001
4.46683592150962e+000	1.27104451120661e-001,2.81052058085540e-001
4.57088189614874e+000	1.32224082651512e-001,2.85469120625853e-001
4.67735141287197e+000	1.37513457427658e-001,2.89866629834681e-001
4.78630092322637e+000	1.42975234544461e-001,2.94238350301945e-001
4.89778819368445e+000	1.48611866122308e-001,2.98577755775351e-001
5.01187233627271e+000	1.54425574814908e-001,3.02878031923323e-001
5.12861383991364e+000	1.60418330727432e-001,3.07132080759551e-001
5.24807460249771e+000	1.66591827858128e-001,3.11332526844004e-001
5.37031796370252e+000	1.72947460193110e-001,3.15471725369454e-001
5.49540873857623e+000	1.79486297600288e-001,3.19541772234718e-001
5.62341325190348e+000	1.86209061684526e-001,3.23534516195809e-001
5.75439937337156e+000	1.93116101781937e-001,3.27441573173840e-001
5.88843655355588e+000	2.00207371286347e-001,3.31254342783941e-001
6.02559586074356e+000	2.07482404515082e-001,3.34964027132317e-001
6.16595001861481e+000	2.14940294334042e-001,3.38561651909247e-001
6.30957344480192e+000	2.22579670773039e-001,3.42038089783993e-001
6.45654229034654e+000	2.30398680871379e-001,3.45384086083774e-001
6.60693448007594e+000	2.38394970000105e-001,3.48590286712914e-001
6.76082975391980e+000	2.46565664910933e-001,3.51647268240679e-001
6.91830970918935e+000	2.54907358762306e-001,3.54545570057051e-001
7.07945784384136e+000	2.63416098369848e-001,3.57275728465549e-001
7.24435960074988e+000	2.72087373921529e-001,3.59828312551261e-001
7.41310241300916e+000	2.80916111386830e-001,3.62193961631277e-001
7.58577575029182e+000	2.89896667834004e-001,3.64363424064118e-001
7.76247116628690e+000	2.99022829850005e-001,3.66327597165175e-001
7.94328234724279e+000	3.08287815233893e-001,3.68077567947258e-001
8.12830516164097e+000	3.17684278106613e-001,3.69604654379742e-001
8.31763771102669e+000	3.27204317548114e-001,3.70900446837112e-001
8.51138038202374e+000	3.36839489837324e-001,3.71956849388639e-001
8.70963589956078e+000	3.46580824331751e-001,3.72766120566052e-001
8.91250938133743e+000	3.56418842982103e-001,3.73320913235866e-001
9.12010839355907e+000	3.66343583433963e-001,3.73614313198178e-001
9.33254300796988e+000	3.76344625623803e-001,3.73639876134341e-001
9.54992586021433e+000	3.86411121731420e-001,3.73391662532519e-001
9.77237220955808e+000	3.96531829305965e-001,3.72864270232668e-001
9.99999999999997e+000	4.06695147339102e-001,3.72052864251132e-001
1.02329299228075e+001	4.16889155017242e-001,3.70953203569559e-001
1.04712854805090e+001	4.27101652846233e-001,3.69561664603055e-001
1.07151930523760e+001	4.37320205807182e-001,3.67875261097907e-001
1.09647819614318e+001	4.47532188171966e-001,3.65891660249349e-001
1.12201845430196e+001	4.57724829582159e-001,3.63609194873963e-001
1.14815362149688e+001	4.67885261976253e-001,3.61026871518712e-001
1.17489755493953e+001	4.78000566937373e-001,3.58144374438308e-001
1.20226443461741e+001	4.88057823027880e-001,3.54962065423792e-001
1.23026877081238e+001	4.98044152678009e-001,3.51480979516775e-001
1.25892541179416e+001	5.07946768203459e-001,3.47702816694870e-001
1.28824955169313e+001	5.17753016541123e-001,3.43629929663280e-001
1.31825673855640e+001	5.27450422312757e-001,3.39265307934598e-001
1.34896288259165e+001	5.37026728852962e-001,3.34612558422515e-001
1.38038426460288e+001	5.46469936869554e-001,3.29675882814711e-001
1.41253754462275e+001	5.55768340440805e-001,3.24460052024945e-001
1.44543977074592e+001	5.64910560094219e-001,3.18970378053790e-001
1.47910838816820e+001	5.73885572754596e-001,3.13212683611111e-001
1.51356124843620e+001	5.82682738394380e-001,3.07193269871043e-001
1.54881661891248e+001	5.91291823265665e-001,3.00918882741712e-001
1.58489319246111e+001	5.99703019639909e-001,2.94396678037348e-001
1.62181009735892e+001	6.07906962027563e-001,2.87634185939827e-001
1.65958690743755e+001	6.15894739894608e-001,2.80639275130397e-001
1.69824365246174e+001	6.23657906935740e-001,2.73420116960739e-001
1.73780082874937e+001	6.31188487003965e-001,2.65985150016039e-001
1.77827941003892e+001	6.38478976833180e-001,2.58343045401978e-001
1.81970085860998e+001	6.45522345723512e-001,2.50502673063044e-001
1.86208713666286e+001	6.52312032388248e-001,2.42473069412002e-001
1.90546071796324e+001	6.58841939186224e-001,2.34263406520281e-001
1.94984459975804e+001	6.65106423984120e-001,2.25882963087215e-001
1.99526231496887e+001	6.71100289909367e-001,2.17341097372966e-001
2.04173794466952e+001	6.76818773266346e-001,2.08647222246335e-001
2.08929613085403e+001	6.82257529896382e-001,1.99810782464852e-001
2.13796208950222e+001	6.87412620265884e-001,1.90841234271243e-001
2.18776162394954e+001	6.92280493567122e-001,1.81748027357860e-001
