Freq.	V(out)
1.54881661891246e+004	5.71099758173567e-001,3.53738187091232e-002
1.58489319246109e+004	5.71250261056525e-001,3.45814964554334e-002
1.62181009735891e+004	5.71394086037753e-001,3.38063576660623e-002
1.65958690743754e+004	5.71531525324090e-001,3.30480672045276e-002
1.69824365246172e+004	5.71662858694585e-001,3.23062939172577e-002
1.73780082874935e+004	5.71788353997551e-001,3.15807107763540e-002
1.77827941003890e+004	5.71908267630553e-001,3.08709950045841e-002
1.81970085860996e+004	5.72022845003650e-001,3.01768281838662e-002
1.86208713666284e+004	5.72132320986241e-001,2.94978963484155e-002
1.90546071796322e+004	5.72236920337878e-001,2.88338900637039e-002
1.94984459975802e+004	5.72336858123421e-001,2.81845044922438e-002
1.99526231496885e+004	5.72432340112926e-001,2.75494394472169e-002
2.00000000000000e+004	5.72441929524755e-001,2.74848296809489e-002
